Bundesland,Abschiebungshaft,,,,
Bayern,gesamt,,925,,
Berlin,gesamt,,11,,
Brandenburg,gesamt,,36,k. A.,---
Hamburg,gesamt,,116,45,17
Mecklenburg-Vorpommern,gesamt,,2,,
Niedersachsen,gesamt,,438,,
Nordrhein-Westfalen,gesamt,,900,235,37
Rheinland-Pfalz,gesamt,,168,0,0
Saarland,gesamt,,14,54,1
Sachsen,gesamt,,11,0,0
Sachsen-Anhalt,gesamt,,18,33,3
Thüringen,gesamt,,11,8,5
Schleswig-Holstein,gesamt,,kein Knast,,
Baden-Württemberg,gesamt,,fehlt,,
Hessen,gesamt,,fehlt,,
Bremen,gesamt,,fehlt,,
